week_description,id_match,eq,possesions,poss_adj
Semana 1,103773,GIR,78.73728558531448,79.99352994282276
Semana 1,103773,VBC,81.24977430033103,79.99352994282276
Semana 1,103774,COV,92.37466145049655,90.82470659043034
Semana 1,103774,UCM,89.27475173036413,90.82470659043034
Semana 1,103775,MOB,71.71230815528138,71.96855251278964
Semana 1,103775,ZPA,72.22479687029792,71.96855251278964
Semana 1,103776,LNT,74.86217273547999,75.04348480288895
Semana 1,103776,UNI,75.22479687029792,75.04348480288895
Semana 1,103777,CAZ,76.61239843514896,77.41859765272343
Semana 1,103777,RMB,78.22479687029792,77.41859765272343
Semana 1,103778,BAX,80.22479687029792,81.81221787541378
Semana 1,103778,DGC,83.39963888052964,81.81221787541378
Semana 1,103779,MBA,80.71230815528138,80.21230815528138
Semana 1,103779,SBB,79.71230815528138,80.21230815528138
Semana 1,103781,BKN,73.78724044538068,73.51850737285585
Semana 1,103781,BRE,73.24977430033103,73.51850737285585
Semana 1,103789,BAR,72.66235329521517,72.96855251278964
Semana 1,103789,JOV,73.27475173036413,72.96855251278964
Semana 2,103754,UNI,75.83719530544688,77.09343966295516
Semana 2,103754,VBC,78.34968402046344,77.09343966295516
Semana 2,103755,DGC,73.76226301534759,73.73728558531448
Semana 2,103755,JOV,73.71230815528138,73.73728558531448
Semana 2,103756,COV,76.68733072524827,77.26226301534757
Semana 2,103756,GIR,77.83719530544688,77.26226301534757
Semana 2,103757,MBA,73.24977430033103,73.9810412278062
Semana 2,103757,ZPA,74.71230815528138,73.9810412278062
Semana 2,103758,BAX,79.68733072524827,81.3371953054469
Semana 2,103758,BRE,82.98705988564551,81.3371953054469
Semana 2,103759,BAR,79.37466145049655,80.88715016551309
Semana 2,103759,RMB,82.39963888052964,80.88715016551309
Semana 2,103769,LNT,70.68733072524827,69.67484201023171
Semana 2,103769,UCM,68.66235329521517,69.67484201023171
Semana 2,103770,BKN,81.27475173036413,79.46855251278964
Semana 2,103770,SBB,77.66235329521517,79.46855251278964
Semana 2,103771,BAX,79.63737586518207,79.69981944026483
Semana 2,103771,RMB,79.76226301534759,79.69981944026483
Semana 2,103782,CAZ,78.9121275955462,78.36217273547999
Semana 2,103782,UNI,77.81221787541378,78.36217273547999
Semana 2,103783,BKN,81.37466145049655,82.39963888052964
Semana 2,103783,UCM,83.42461631056274,82.39963888052964
Semana 2,103784,LNT,75.42461631056274,74.38715016551309
Semana 2,103784,VBC,73.34968402046344,74.38715016551309
Semana 2,103785,COV,80.19981944026482,82.99352994282275
Semana 2,103785,JOV,85.78724044538068,82.99352994282275
Semana 2,103786,DGC,80.12488715016552,80.68733072524827
Semana 2,103786,GIR,81.24977430033103,80.68733072524827
Semana 2,103787,BAR,80.42461631056274,79.36217273547999
Semana 2,103787,ZPA,78.29972916039723,79.36217273547999
Semana 2,103788,BRE,71.37466145049655,70.03099608787241
Semana 2,103788,MBA,68.68733072524827,70.03099608787241
Semana 3,103562,SBB,75.24977430033103,75.4810412278062
Semana 3,103562,UCM,75.71230815528138,75.4810412278062
Semana 3,103761,GIR,81.24977430033103,80.99352994282276
Semana 3,103761,RMB,80.73728558531448,80.99352994282276
Semana 3,103762,BKN,77.68733072524827,78.9810412278062
Semana 3,103762,COV,80.27475173036413,78.9810412278062
Semana 3,103763,MOB,74.22479687029792,75.49352994282276
Semana 3,103763,VBC,76.76226301534759,75.49352994282276
Semana 3,103764,DGC,80.78724044538068,81.08095094793862
Semana 3,103764,UNI,81.37466145049655,81.08095094793862
Semana 3,103765,BAR,70.71230815528138,69.9061089377069
Semana 3,103765,MBA,69.09990972013242,69.9061089377069
Semana 3,103766,BRE,80.71230815528138,78.78724044538069
Semana 3,103766,LNT,76.86217273547999,78.78724044538069
Semana 3,103767,BAX,75.71230815528138,75.69981944026483
Semana 3,103767,CAZ,75.68733072524827,75.69981944026483
Semana 3,103768,JOV,73.29972916039723,72.56846223292206
Semana 3,103768,ZPA,71.83719530544688,72.56846223292206
Semana 3,103772,MOB,75.78724044538068,73.50601865783929
Semana 3,103772,SBB,71.22479687029792,73.50601865783929
Semana 4,103726,BAR,71.78724044538068,72.81221787541378
